year,hours,species,how_many
2016,278,Black-bellied Whistling-Duck,2510
2016,278,Muscovy Duck,238
2016,278,Wood Duck,198
2016,278,Gadwall,9
2016,278,American Wigeon,3
2016,278,Mallard,32
2016,278,Mottled Duck,1196
2016,278,Blue-winged Teal,1040
2016,278,Northern Shoveler,111
2016,278,Northern Pintail,29
2016,278,Green-winged Teal,1150
2016,278,Ring-necked Duck,511
2016,278,Lesser Scaup,3
2016,278,Bufflehead,7
2016,278,Common Goldeneye,1
2016,278,Hooded Merganser,168
2016,278,Ruddy Duck,15
2016,278,Northern Bobwhite,3
2016,278,Wild Turkey,61
2016,278,Pied-billed Grebe,112
2016,278,Rock Pigeon,53
2016,278,Eurasian Collared Dove,17
2016,278,Common Ground-Dove,8
2016,278,Mourning Dove,634
2016,278,Whip-Poor-Will,4
2016,278,King Rail,12
2016,278,Virginia Rail,2
2016,278,Sora,52
2016,278,Common Gallinule,352
2016,278,American Coot,864
2016,278,Limpkin,52
2016,278,Sandhill Crane,7965
2016,278,Killdeer,501
2016,278,Least Sandpiper,15
2016,278,Wilson's Snipe,262
2016,278,American Woodcock,7
2016,278,Spotted Sandpiper,1
2016,278,Greater Yellowlegs,68
2016,278,Lesser Yellowlegs,18
2016,278,Bonaparte's Gull,7
2016,278,Laughing Gull,1
2016,278,Ring-billed Gull,124
2016,278,Herring Gull,1
2016,278,Forster's Tern,5
2016,278,Common Loon,3
2016,278,Wood Stork,86
2016,278,Double-crested Cormorant,323
2016,278,Anhinga,230
2016,278,American White Pelican,82
2016,278,American Bittern,9
2016,278,Great Blue Heron,178
2016,278,Great Egret,150
2016,278,Snowy Egret,393
2016,278,Little Blue Heron,224
2016,278,Tricolored Heron,41
2016,278,Cattle Egret,149
2016,278,Green Heron,7
2016,278,Black-crowned Night-Heron,25
2016,278,White Ibis,1394
2016,278,Glossy Ibis,728
2016,278,Black Vulture,311
2016,278,Turkey Vulture,1316
2016,278,Osprey,1
2016,278,"Bald Eagle, Adult",43
2016,278,"Bald Eagle, Immature",16
2016,278,"Bald Eagle, Unknown",4
2016,278,Northern Harrier,47
2016,278,Sharp-shinned Hawk,7
2016,278,Cooper's Hawk,17
2016,278,"Accipiter, sp.",5
2016,278,Red-shouldered Hawk,168
2016,278,Red-tailed Hawk,37
2016,278,Barn Owl,5
2016,278,Eastern Screech-Owl,14
2016,278,Great Horned Owl,40
2016,278,Barred Owl,65
2016,278,Belted Kingfisher,29
2016,278,Red-headed Woodpecker,29
2016,278,Red-bellied Woodpecker,316
2016,278,Yellow-bellied Sapsucker,59
2016,278,Downy Woodpecker,124
2016,278,Northern Flicker,109
2016,278,Pileated Woodpecker,138
2016,278,American Kestrel,47
2016,278,Merlin,2
2016,278,Eastern Phoebe,462
2016,278,Vermilion Flycatcher,2
2016,278,Loggerhead Shrike,22
2016,278,White-eyed Vireo,85
2016,278,Blue-headed Vireo,60
2016,278,Blue Jay,212
2016,278,American Crow,630
2016,278,Fish Crow,84
2016,278,"Crow, sp.",64
2016,278,Tree Swallow,9
2016,278,Carolina Chickadee,267
2016,278,Tufted Titmouse,363
2016,278,Brown-headed Nuthatch,6
2016,278,House Wren,243
2016,278,Sedge Wren,101
2016,278,Marsh Wren,21
2016,278,Carolina Wren,409
2016,278,Blue-gray Gnatcatcher,474
2016,278,Golden-crowned Kinglet,7
2016,278,Ruby-crowned Kinglet,615
2016,278,Eastern Bluebird,318
2016,278,Hermit Thrush,62
2016,278,American Robin,4853
2016,278,Gray Catbird,172
2016,278,Brown Thrasher,18
2016,278,Northern Mockingbird,127
2016,278,European Starling,51
2016,278,Cedar Waxwing,30
2016,278,House Sparrow,22
2016,278,American Pipit,79
2016,278,House Finch,105
2016,278,American Goldfinch,681
2016,278,Ovenbird,11
2016,278,Northern Waterthrush,2
2016,278,Black-and-White Warbler,97
2016,278,Orange-crowned Warbler,85
2016,278,Common Yellowthroat,167
2016,278,American Redstart,3
2016,278,Northern Parula,6
2016,278,Palm Warbler,754
2016,278,Pine Warbler,119
2016,278,Yellow-rumped Warbler,1195
2016,278,Yellow-throated Warbler,41
2016,278,Prairie Warbler,4
2016,278,Wilson's Warbler,2
2016,278,Eastern Towhee,117
2016,278,Field Sparrow,3
2016,278,Chipping Sparrow,994
2016,278,Vesper Sparrow,46
2016,278,Savannah Sparrow,190
2016,278,Grasshopper Sparrow,3
2016,278,Henslow's Sparrow,2
2016,278,Fox Sparrow,4
2016,278,Song Sparrow,23
2016,278,Lincoln's Sparrow,3
2016,278,Swamp Sparrow,302
2016,278,White-throated Sparrow,5
2016,278,White-crowned Sparrow,4
2016,278,Northern Cardinal,754
2016,278,Painted Bunting,1
2016,278,Red-winged Blackbird,9501
2016,278,Eastern Meadowlark,271
2016,278,Rusty Blackbird,1
2016,278,Common Grackle,867
2016,278,Boat-tailed Grackle,4234
2016,278,Brown-headed Cowbird,780
2016,278,Baltimore Oriole,46
2016,278,Clay-colored sparrow,1
2016,278,Least Bittern,2
2016,278,Greater White-fronted Goose,4
2016,278,Least Flycatcher,1
2016,278,Stilt Sandpiper,2
2016,278,Whooping Crane,1
2016,278,Long-billed Dowitcher,38
2016,278,Dunlin,1
