year,PG.,DATE,tot_spp,.INDS,participants,.PTYS,hours,P-MIS,OWLHR,OWLMI,TEMP,WIND
1957.00,140.00,21183.00,74.00,3530.00,6.00,3.00,16.00,78.00,0.00,0.00,51-72,NE-NW 0-5
1959.00,165.00,21911.00,108.00,3819.00,13.00,4.00,25.50,36.00,0.00,0.00,56-79,W 10-15
1960.00,173.00,22278.00,95.00,5488.00,13.00,1.00,12.50,129.00,0.00,0.00,52-65,W 10-15
1961.00,168.00,22278.00,102.00,15381.00,14.00,5.00,40.00,320.00,0.00,0.00,20-?,NE 5-10
1962.00,161.00,23009.00,94.00,12469.00,8.00,2.00,12.00,125.00,0.00,0.00,55-70,SW 0-20
1963.00,176.00,23366.00,112.00,13513.00,24.00,7.00,57.00,316.00,0.00,0.00,32-55,NE 0-12
1964.00,185.00,23733.00,104.00,10335.00,13.00,5.00,45.00,245.00,0.00,0.00,51-65,NE 0-8
1965.00,208.00,24104.00,114.00,17956.00,12.00,3.00,20.00,235.00,0.00,0.00,45-62,NE 0-15
1966.00,197.00,24462.00,123.00,16968.00,16.00,5.00,48.00,212.00,0.00,0.00,39-70,NW 0-5
1967.00,216.00,24836.00,103.00,9216.00,13.00,4.00,28.00,230.00,0.00,0.00,34-65,N 0-8
1968.00,241.00,25195.00,103.00,8487.00,9.00,3.00,27.00,152.00,0.00,0.00,49-65,NW 0-25
1969.00,243.00,25557.00,122.00,12739.00,22.00,6.00,42.00,178.00,0.00,0.00,40-65,NW 0-15
1970.00,284.00,25924.00,119.00,22770.00,18.00,6.00,46.00,298.00,0.00,0.00,55-85,SW 5
1971.00,302.00,26285.00,126.00,30135.00,24.00,9.00,74.00,333.00,0.00,0.00,49-58,NE-NW 15-25
1972.00,301.00,26660.00,133.00,68673.00,25.00,8.00,76.00,297.00,0.00,0.00,34-59,N-NW 8-12
1973.00,312.00,27014.00,131.00,59013.00,23.00,9.00,86.00,441.00,0.00,0.00,60-40,WNW 5-25
1974.00,337.00,27378.00,134.00,25496.00,34.00,13.00,100.00,503.00,0.00,0.00,54-65,SSW 0-15
1975.00,349.00,27756.00,144.00,34613.00,42.00,14.00,138.00,635.00,0.00,0.00,32-61,E 0-10
